Alpha,Cl,Cd,Cm
-20.0,-0.4004519138207366,0.2145570003791146,0.012400501938913379
-19.0,-0.3592525056650778,0.20313907938910145,0.004466288298659066
-18.0,-0.31801101630282896,0.1919817118286089,-0.003120663137797247
-17.0,-0.2769526474215822,0.1811042366379143,-0.010332048476740102
-16.0,-0.236355960454043,0.1705314871379135,-0.017133621448753827
-15.0,-0.19652699869836876,0.1602951663241525,-0.023489904521373235
-14.0,-0.15785267631756103,0.1504206498977379,-0.029354725359068377
-13.0,-0.12085658174058996,0.14093606981600817,-0.034665839997445054
-12.0,-0.08618561470516989,0.13187343014807382,-0.03934876576587261
-11.0,-0.05462339789183372,0.1232695499117743,-0.043317125877412474
-10.0,-0.027260688228145605,0.11522252692623258,-0.04644303754414723
-9.0,-0.00559174905705073,0.10771567667438388,-0.048560327846885555
-8.0,0.00843459337018987,0.10081764021435645,-0.049447854058201186
-7.0,0.012615021649583193,0.09458791133915127,-0.04889803447197397
-6.0,0.005606877519528737,0.08887671610324245,-0.04703062691195367
-5.0,-0.014660426265511534,0.08339395102625334,-0.0440507955727312
-4.0,-0.0535574217592706,0.07765101196942142,-0.039777898778360264
-3.0,-0.12325669741147384,0.07065279086679746,-0.03297847538410559
-2.0,-0.1808674093801603,0.06409542469312078,-0.027481359700833145
-1.0,-0.13038520218855026,0.06488432259993507,-0.02591470125691823
0.0,-0.07290525153992192,0.06728647676899197,-0.02343585377974268
1.0,-0.014340286487644181,0.0705901019735271,-0.021419693111573938
2.0,0.04409713139528552,0.07471423019319898,-0.020046295492764068
3.0,0.10155090018935224,0.07963899067124408,-0.019323215183564293
4.0,0.15740321730802337,0.0853523577409404,-0.019219768452484787
5.0,0.21127973940073236,0.09184287695936162,-0.019709723936202656
6.0,0.26295899619198226,0.09908423297244456,-0.02076628001126656
7.0,0.31245028081593124,0.10703877701443207,-0.022381612896299835
8.0,0.35987648324363447,0.11564614520335449,-0.024550267755415828
9.0,0.4055054432066973,0.12485246667273746,-0.02727608553737191
10.0,0.4496198116860163,0.13465111757922804,-0.03056574095133515
11.0,0.4925020266186255,0.14493947944990826,-0.03442859767696363
12.0,0.534489301982849,0.1556941746463146,-0.038900839085179384
13.0,0.5755923597137736,0.1669076918938241,-0.04398514305502028
14.0,0.6158086211478313,0.17859338630661664,-0.04967817772419793
15.0,0.6552199141104619,0.1907840964457731,-0.05598316193245933
16.0,0.6938858624640936,0.20349795740245177,-0.06289118048753335
17.0,0.7318490423760561,0.2167509327936342,-0.07037337536498438
18.0,0.7691638925081132,0.2305682638899745,-0.07838018354429933
19.0,0.8059772081991807,0.2449430112851234,-0.08685477603871458
20.0,0.8424232244911418,0.2598254236721755,-0.09571557900220551
