Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca4412-il-1000000,,,,,
Airfoil,naca4412-il,,,,,
Reynolds number,1000000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,129.373,,,,,
Max Cl/Cd alpha,5.25,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca4412-il-1000000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-2,0.2625,0.00715,0.00145,-0.1038,0.7254,0.1697
-1.75,0.2903,0.00709,0.00142,-0.1038,0.7132,0.1927
-1.5,0.318,0.00703,0.00141,-0.1037,0.7012,0.2214
-1.25,0.3456,0.00701,0.00139,-0.1036,0.6886,0.2466
-1,0.3734,0.00697,0.00138,-0.1035,0.6754,0.2686
-0.75,0.4012,0.00694,0.00137,-0.1035,0.6626,0.2903
-0.5,0.4288,0.00691,0.00138,-0.1034,0.6497,0.3203
-0.25,0.4562,0.00686,0.00139,-0.1033,0.6365,0.3629
0,0.4833,0.00678,0.00141,-0.1032,0.6232,0.4192
0.25,0.5102,0.00658,0.00146,-0.1031,0.6101,0.5177
0.5,0.5366,0.00635,0.00153,-0.1029,0.5975,0.6393
0.75,0.5622,0.00617,0.0016,-0.1024,0.5856,0.7449
1,0.5842,0.00594,0.0017,-0.1009,0.574,0.8717
1.25,0.6163,0.00588,0.00177,-0.1014,0.5622,0.9842
1.5,0.6525,0.00598,0.00181,-0.1033,0.5505,1
1.75,0.6788,0.00611,0.00186,-0.1029,0.5398,1
2,0.7055,0.00622,0.00192,-0.1026,0.5294,1
2.25,0.7325,0.00633,0.00199,-0.1024,0.5204,1
2.5,0.7592,0.00646,0.00206,-0.1022,0.5112,1
2.75,0.7865,0.00656,0.00213,-0.102,0.5029,1
3.25,0.8405,0.00681,0.00231,-0.1016,0.4847,1
3.5,0.8672,0.00696,0.0024,-0.1014,0.4746,1
3.75,0.8941,0.00709,0.0025,-0.1012,0.4646,1
4,0.921,0.00722,0.0026,-0.101,0.454,1
4.25,0.9473,0.00739,0.00272,-0.1007,0.4426,1
4.5,0.9734,0.00758,0.00284,-0.1004,0.4273,1
4.75,0.9993,0.00778,0.00297,-0.1001,0.411,1
5,1.0254,0.00797,0.00311,-0.0998,0.3979,1
5.25,1.0518,0.00813,0.00326,-0.0995,0.3861,1
5.5,1.0777,0.00834,0.00342,-0.0992,0.3731,1
5.75,1.1031,0.00857,0.00359,-0.0988,0.3575,1
6,1.128,0.00884,0.00379,-0.0983,0.3398,1
6.25,1.1523,0.00914,0.00401,-0.0978,0.3207,1
6.5,1.1761,0.00948,0.00426,-0.0971,0.2993,1
6.75,1.1988,0.00989,0.00455,-0.0963,0.2737,1
7,1.2208,0.01036,0.00488,-0.0954,0.2461,1
7.25,1.2417,0.01089,0.00526,-0.0943,0.2173,1
7.5,1.2614,0.01149,0.00569,-0.0931,0.1865,1
7.75,1.2793,0.0122,0.00621,-0.0915,0.1526,1
8,1.2973,0.01288,0.00672,-0.09,0.1252,1
8.25,1.3164,0.01345,0.00719,-0.0887,0.1065,1
8.5,1.3346,0.01404,0.00769,-0.0872,0.0893,1
8.75,1.3514,0.01469,0.00823,-0.0854,0.0729,1
9,1.3676,0.01527,0.00875,-0.0836,0.0622,1
9.25,1.3835,0.01581,0.00926,-0.0817,0.0563,1
9.5,1.4004,0.01631,0.00976,-0.0799,0.0521,1
9.75,1.4171,0.01682,0.01028,-0.0782,0.0491,1
10,1.4317,0.01746,0.01091,-0.0762,0.0459,1
10.25,1.4484,0.01797,0.01147,-0.0746,0.0442,1
10.5,1.4653,0.01849,0.01203,-0.0731,0.0427,1
10.75,1.4805,0.01911,0.01267,-0.0714,0.0411,1
11,1.4938,0.01986,0.01343,-0.0695,0.0392,1
11.25,1.5061,0.02069,0.0143,-0.0676,0.0376,1
11.5,1.5221,0.02129,0.01495,-0.0662,0.0368,1
11.75,1.5369,0.02199,0.0157,-0.0647,0.0356,1
12,1.55,0.02282,0.01656,-0.0631,0.0343,1
