Category,MAPE,Epsilon,R2
Rotor L1 CT,8.660042367726966,9.390409413714556,0.380558934309689
Rotor L1 CQ,3.4586765138760134,4.141425964494964,0.7962803065475239
Rotor L1,6.05935944080149,6.765917689104761,0.5884196204286064
Rotor L2 CT,9.136454011145352,9.934849144150643,0.3637397416581831
Rotor L2 CQ,3.631424656742798,4.34403652987901,0.7865952814282379
Rotor L2,6.383939333944075,7.139442837014828,0.5751675115432106
Rotor L3 CT,11.173979225318877,12.046183109557205,0.36905175812250335
Rotor L3 CQ,3.7314647588545764,4.517706796347039,0.7839703010833166
Rotor L3,7.452721992086728,8.28194495295212,0.57651102960291
Rotor L4 CT,12.749699191019863,13.729739127689008,0.18318758633908977
Rotor L4 CQ,4.7739147782882325,5.55059942255591,0.6925995540299793
Rotor L4,8.761806984654047,9.64016927512246,0.43789357018453456
Rotor R1 CT,8.661842825529876,9.392009133432722,0.3801076573825444
Rotor R1 CQ,3.4585157230878325,4.14128350430499,0.7963001353191822
Rotor R1,6.0601792743088545,6.766646318868856,0.5882038963508633
Rotor R2 CT,9.139390291245075,9.936528871112756,0.3635292292344857
Rotor R2 CQ,3.631240320888259,4.3437914293334465,0.786619409061975
Rotor R2,6.385315306066667,7.140160150223102,0.5750743191482304
Rotor R3 CT,11.177804765461184,12.049250689141545,0.36900211762991164
Rotor R3 CQ,3.730564228090013,4.516841342662921,0.7840553731010204
Rotor R3,7.454184496775599,8.283046015902233,0.5765287453654659
Rotor R4 CT,12.755738412652772,13.735033425889672,0.1841125990565503
Rotor R4 CQ,4.773426142095344,5.550096863685649,0.6926466217855666
Rotor R4,8.764582277374057,9.64256514478766,0.43837961042105844
